"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AC092691.1",22.1230257303827,-3.50497560122779,1.73920460665546,-2.01527502159044,0.0438758406275721,0.52549066885335
"AREG",2053.22120237597,-3.49707955609554,0.775605908015712,-4.50883563412039,6.51843836810061e-06,0.00104476319239463
"MCEMP1",235.672062926257,-3.48846703789623,1.0175503579846,-3.42829916035371,0.000607375753734345,0.0342521156441039
"ECRG4",119.454389850399,-3.48555043278497,0.825331828441797,-4.22321097123516,2.40846175376032e-05,0.00290164903560987
"CLCA2",22.4450268229496,-3.4551114079323,1.88035862983723,-1.83747469929786,0.0661398481607139,0.639017014155427
"ADAMTS7P3",74.6588204173942,-3.45105354559871,1.37923870732864,-2.50214377486755,0.0123443782795744,0.26772633437067
"NDNF",1023.98868625266,-3.42984621804344,0.783129227239074,-4.37966825747952,1.18860116738485e-05,0.00170291210494786
"MEIS1",364.09172117439,-3.42892887525845,0.604399601755367,-5.6732811624954,1.40088023645879e-08,4.95071075564538e-06
"PTPRQ",43.6976083790715,-3.42548050539128,1.38282832163323,-2.47715529961486,0.013243426334354,0.275235974886746
"CA4",437.324004119844,-3.42542288312662,0.791935365747612,-4.32538188251375,1.52267842623976e-05,0.00205213178071957
"DPT",93.1231184929074,-3.42114671104637,1.09424771693038,-3.12648284123771,0.00176910827862089,0.0713733180016716
"AOC3",2696.82129750849,-3.41228102846428,0.520472447040185,-6.55612232284185,5.52249370738811e-11,3.81844423602579e-08
"TSLP",28.1121096393502,-3.41162991856495,1.43461347850989,-2.37808299564323,0.0174029084096886,0.321075759893095
"CCBE1",305.534495057448,-3.40384323235833,0.687449610686125,-4.9514076078406,7.36785981003919e-07,0.00016502968247754
"IGKV2D-30",400.683683517693,-3.38748447851499,1.05195149591759,-3.22019075181806,0.00128105324835495,0.0578766755925819
"SIK1",209.845147023127,-3.35826737736568,0.984840919238018,-3.40995922464718,0.000649725925902584,0.0353855869850301
"MT1M",121.895250947578,-3.34543880243469,0.883889049119044,-3.78490807841666,0.000153765402630415,0.0121658268558781
"C10orf67",50.7556386854017,-3.34160802375311,1.21169426561023,-2.75779800118987,0.00581921451445278,0.163792864466093
"AP002856.2",32.7165486652963,-3.34050377136445,1.69225607645324,-1.97399425408815,0.0483823962995333,0.557958845795126
"MYH10",1516.56772650723,-3.33927370730821,0.734425496952301,-4.54678346703027,5.44719886087919e-06,0.000911861089311176
"BRINP3",21.1541116794706,-3.33226063512978,1.79790744026691,-1.85341055968659,0.063823534940263,0.627048390855947
"GRIA1",179.062407628624,-3.32350205946132,0.779511267515855,-4.2635715453513,2.01185042740539e-05,0.00258019817314741
"SLC5A1",104.778800300282,-3.31990110361356,0.82914066310023,-4.00402639909151,6.22734109036089e-05,0.00607566904049136
"SPON1",573.79494682875,-3.31327782065585,0.656008626533116,-5.05066196791635,4.40281605689264e-07,0.000104504453362334
"PI16",69.7057887975624,-3.3078061941544,1.16104379001513,-2.84899348551815,0.00438577784830174,0.136224658440513
"L1TD1",41.8139838792223,-3.29481621662244,1.2887587234572,-2.55658111689349,0.0105706422108281,0.243983923191291
"PLA2G1B",59.113249760426,-3.28854447409447,1.07972939339416,-3.04571172574717,0.0023213027844586,0.0862703653789883
"CNKSR2",82.1100810112987,-3.25212787871612,0.881954735115764,-3.68740905766468,0.000226549019155462,0.0164540963937155
"IL24",15.4645237703251,-3.23267744808849,1.79006397818498,-1.80590050829705,0.0709338817024475,0.656613225095473
"RNF122",815.931244693823,-3.23103600913075,0.644703936843661,-5.01165856834881,5.39628894364939e-07,0.000124372729088197
"SOX7",388.330678690144,-3.22422358463602,0.714765464796584,-4.51088328050881,6.45582383233636e-06,0.00104476319239463
"TRGC1",51.9002607261319,-3.2231963079677,1.27274925143129,-2.53246765169415,0.0113262819972983,0.253335953028178
"LRCOL1",19.3597152330222,-3.21748092472958,1.89409694249993,-1.69868862175712,0.0893778684319734,0.71796602024274
"PEBP4",437.364548209258,-3.2095776319355,0.594794371180096,-5.3961129887083,6.81000709654551e-08,2.08268351646853e-05
"FGFR4",454.448067997963,-3.20908743247163,0.745759430159489,-4.30311344743617,1.68414557978125e-05,0.00219535744004109
"OVCH2",37.476443684303,-3.20274546239769,1.24817327454589,-2.5659461932983,0.0102894788140262,0.239931937799792
"SOCS3",11343.9200232044,-3.20003677162488,0.73930769915586,-4.3284234362481,1.5018052246993e-05,0.00204129987080282
"MARCO",3162.38527357463,-3.19677991145182,2.21611391305449,-1.44251606048792,0.149156844153462,0.870154546064751
"FAM107A",2840.3929497709,-3.19382426696107,0.796235956939708,-4.01115302458378,6.0422929195709e-05,0.00596835927328795
"RBP5",119.342621850937,-3.18514425725203,0.800586653023798,-3.97851281334983,6.93476746696702e-05,0.00648727100159862
"AOX1",220.130485272402,-3.18115046392877,0.706985634753912,-4.49959703217458,6.80823980266596e-06,0.00107199443150294
"ODF3L1",36.6244490500366,-3.1776522325867,1.31257222435236,-2.42093514827696,0.0154806387705898,0.30170171368712
"ECEL1P2",52.6619874908353,-3.1709810144264,1.07298945098482,-2.9552769708183,0.00312388468015752,0.106836856061387
"SFTPA1",54191.3054031037,-3.16932722529532,0.487136443960373,-6.50603596710809,7.71597595660977e-11,5.11279856824855e-08
"DACH1",263.28398470053,-3.16926776005029,0.652694797844139,-4.85566572694992,1.19982957302844e-06,0.0002510643381562
"GPD1",306.636133743753,-3.16833696144928,0.910008222754104,-3.4816575083909,0.000498320613052124,0.0294601959456057
"RND1",1015.19789440234,-3.16611120391112,0.789921644070185,-4.00813324673226,6.12005890054337e-05,0.00600785782070008
"FGFBP2",179.032763359506,-3.16221676014362,1.066077216718,-2.96621737201995,0.00301487319783736,0.103778200141142
